======================================================================
DEEP RE: PE_0529.bin
PATH   : /tmp/critical_modules/PE_0529.bin
FORMAT : Portable Executable (PE)
LANG   : x86:LE:64:default
SIZE   : 0x112270 bytes
======================================================================

── UNICODE STRINGS (HII/setup labels) ──────────────────────────────
  0x00076930  u"ePSAVersion"
  0x0007CBF0  u"ENDINSTANCE"
  0x0007CC08  u"ENDDPATH"
  0x0007CC20  u"ENDINVALID"
  0x0007CC48  u"CDROM"
  0x0007CC58  u"VEND"
  0x0007CC68  u"FILEPATH"
  0x0007CC80  u"MEDIAPATH"
  0x0007CC98  u"PIWGFWFILE"
  0x0007CCB0  u"PIWGFWVOL"
  0x0007CCC8  u"ATAPI"
  0x0007CCE8  u"FIBER"
  0x0007CD18  u"INFIN"
  0x0007CD60  u"USBCLASS"
  0x0007CDB0  u"NORM"
  0x0007CDD8  u"PCCARD"
  0x0007CDE8  u"MEMMAP"
  0x0007CDF8  u"CTRL"
  0x0007CE40  u"USB(Vend)"
  0x0007CE78  u"Pci(0x%x,0x%x)"
  0x0007CE98  u"Pccard(0x%x)"
  0x0007CEB8  u"MemoryMapped(0x%x,0x%lx,0x%lx)"
  0x0007CF18  u":%02x)"
  0x0007CF28  u"Ven%s(%g"
  0x0007CF50  u"Media"
  0x0007CF60  u"%c%c%c%s"
  0x0007CF80  u"AcpiEx(%s,%s,0x%x,%a,%a,%a)"
  0x0007CFB8  u"AcpiExp(%s,%s,%a)"
  0x0007CFE0  u"Acpi(0x%08x,0x%x)"
  0x0007D008  u"Keyboard(0x%x)"
  0x0007D028  u"ParallelPort(0x%x)"
  0x0007D050  u"Serial(0x%x)"
  0x0007D070  u"Floppy(0x%x)"
  0x0007D090  u"PciRoot(0x%x)"
  0x0007D0B0  u"Acpi(PNP%04x,0x%x)"
  0x0007D0D8  u",0x%x"
  0x0007D0E8  u"AcpiAdr(0x%x"
  0x0007D108  u"Ata(%s,%s,0x%x)"
  0x0007D128  u"Primary"
  0x0007D138  u"Master"
  0x0007D148  u"Secondary"
  0x0007D160  u"Slave"
  0x0007D170  u"Scsi(0x%x,0x%x)"
  0x0007D190  u"Fibre(0x%lx,0x%lx)"
  0x0007D1D0  u"USB(0x%x,0x%x)"
  0x0007D1F0  u"UsbWwid(0x%x,0x%x,0x%x,\"%.*s\")"
  0x0007D230  u"Unit(0x%x)"
  0x0007D248  u"(0x%x,0x%x,0x%x,0x%x)"
  0x0007D278  u"UsbCDCData"
  0x0007D290  u"UsbSmartCard"
  0x0007D2B0  u"UsbVideo"
  0x0007D2C8  u"UsbDiagnostic"
  0x0007D2F0  u"UsbClass(0x%x,0x%x,0x%x,0x%x,0x%x)"
  0x0007D340  u"UsbTestAndMeasurement(0x%x,0x%x,0x%x)"
  0x0007D390  u"UsbIrdaBridge(0x%x,0x%x,0x%x)"
  0x0007D3D0  u"UsbDeviceFirmwareUpdate(0x%x,0x%x,0x%x)"
  0x0007D420  u"UsbWireless"
  0x0007D438  u"UsbHub"
  0x0007D448  u"UsbAudio"
  0x0007D460  u"UsbCDCControl"
  0x0007D480  u"UsbHID"
  0x0007D490  u"UsbImage"
  0x0007D4A8  u"UsbPrinter"
  0x0007D4C0  u"UsbMassStorage"
  0x0007D4E0  u"Sata(0x%x,0x%x,0x%x)"
  0x0007D528  u",0x%x)"
  0x0007D538  u"%02x"
  0x0007D548  u"MAC("
  0x0007D558  u"IPv4(%d.%d.%d.%d:%d)"
  0x0007D590  u"IPv6(%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x:%02x%02x)"
