======================================================================
DEEP RE: PE_0186.bin
PATH   : /tmp/critical_modules/PE_0186.bin
FORMAT : Portable Executable (PE)
LANG   : x86:LE:64:default
SIZE   : 0x9F48 bytes
======================================================================

── UNICODE STRINGS (HII/setup labels) ──────────────────────────────
  0x00009BD0  u"Setup"

── ASCII STRINGS (narrow) ───────────────────────────────────────────
  0x00008868  "EFI_DBE_EOF"
  0x00008881  "EFI_DBE_BOF"
  0x000088A0  "EFI_LOAD_ERROR"
  0x000088B9  "EFI_INVALID_PARAMETER"
  0x000088D2  "EFI_UNSUPPORTED"
  0x000088EB  "EFI_BAD_BUFFER_SIZE"
  0x00008904  "EFI_BUFFER_TOO_SMALL"
  0x0000891D  "EFI_NOT_READY"
  0x00008936  "EFI_DEVICE_ERROR"
  0x0000894F  "EFI_WRITE_PROTECTED"
  0x00008968  "EFI_OUT_OF_RESOURCES"
  0x00008981  "EFI_VOLUME_CORRUPTED"
  0x0000899A  "EFI_VOLUME_FULL"
  0x000089B3  "EFI_NO_MEDIA"
  0x000089CC  "EFI_MEDIA_CHANGED"
  0x000089E5  "EFI_NOT_FOUND"
  0x000089FE  "EFI_ACCESS_DENIED"
  0x00008A17  "EFI_NO_RESPONSE"
  0x00008A30  "EFI_NO_MAPPING"
  0x00008A49  "EFI_TIMEOUT"
  0x00008A62  "EFI_NOT_STARTED"
  0x00008A7B  "EFI_ALREADY_STARTED"
  0x00008A94  "EFI_ABORTED"
  0x00008AAD  "EFI_ICMP_ERROR"
  0x00008AC6  "EFI_TFTP_ERROR"
  0x00008ADF  "EFI_PROTOCOL_ERROR"
  0x00008AF8  "EFI_INCOMPATIBLE_VERSION"
  0x00008B11  "EFI_SECURITY_VIOLATION"
  0x00008B2A  "EFI_CRC_ERROR"
  0x00008B43  "EFI_END_OF_MEDIA"
  0x00008B5C  "EFI_UNDEFINED_29"
  0x00008B75  "EFI_UNDEFINED_30"
  0x00008B8E  "EFI_END_OF_FILE"
  0x00008BA7  "EFI_INVALID_LANGUAGE"
  0x00008BC0  "EFI_COMPROMISED_DATA"
  0x00008BE0  "EFI_INTERRUPT_PENDING"
  0x00008BF9  "EFI_REQUEST_UNLOAD_IMAGE"
  0x00008C12  "EFI_NOT_AVAILABLE_YET"
  0x00008C30  "EFI_WARN_UNKNOWN_GLYPH"
  0x00008C4A  "EFI_WARN_DELETE_FAILURE"
  0x00008C64  "EFI_WARN_WRITE_FAILURE"
  0x00008C7E  "EFI_WARN_BUFFER_TOO_SMALL"
  0x00008CA0  "EFI_WARN_INTERRUPT_SOURCE_PENDING"
  0x00008CC3  "EFI_WARN_INTERRUPT_SOURCE_QUIESCED"
  0x00008CE8  "Status Code"
  0x00008CF8  "... DEBUG BUFFER OVERFLOW!!!\n"
  0x00009BE0  "EVENT_TYPE_UNKNOWN"
  0x00009BF8  "TRANSER_DXE_CONTEXT_T0_SMM"
  0x00009C18  "RESTORE_HW_SMIS_EVENT"
  0x00009C30  "DISABLE_HW_SMIS_EVENT"
  0x00009C48  "SST 25LF040"
  0x00009C58  "SST 25LF080"
  0x00009C68  "ATMEL 26DF041/25DF041"
  0x00009C80  "ATMEL 26DF081/25DF081"
  0x00009C98  "ATMEL 26DF161/25DQ161"
  0x00009CB0  "ATMEL 26DF321/25DF321"
  0x00009CC8  "ATMEL 26DF641/25DF641"
  0x00009CE0  "ADESTO AT25SF641"
  0x00009CF8  "ADESTO AT25SL641"
  0x00009D10  "ADESTO AT25SL128A"
  0x00009D28  "STM/Numonyx 25PE Series"
  0x00009D40  "SST 26VF Series"
