======================================================================
DEEP RE: PE_0433.bin
PATH   : /tmp/critical_modules/PE_0433.bin
FORMAT : Portable Executable (PE)
LANG   : x86:LE:64:default
SIZE   : 0x1F1A0 bytes
======================================================================

── UNICODE STRINGS (HII/setup labels) ──────────────────────────────
  0x000061A2  u"Enabled"
  0x000061B8  u"Disabled"
  0x000061D0  u"Enabled"
  0x000061E6  u"Disabled"
  0x0000620A  u"LogicProc"
  0x00006224  u"CpuCore"
  0x00006258  u"CoresAll"
  0x00006270  u"CStatesCtrl"
  0x0000628E  u"SoftGuardEn"
  0x000062AC  u"SoftControlled"
  0x000062CE  u"^EnclaveSize[SuppressIfNot:SoftGuardEn=Enabled]"
  0x00006334  u"Legacy"
  0x00006348  u"Disable"
  0x00006386  u"UsbProvision"
  0x000063A4  u" EnableSecondary"
  0x000063CA  u"4SedBlockSidAuthentication"
  0x00006404  u"$TpmRemoteActivate"
  0x0000642E  u"(MfgModePxeAttribute"
  0x00006482  u"BiosAutoRcvr"
  0x000064A0  u"$BrightnessBattery"
  0x000064CC  u"BrightnessAc"
  0x000064EC  u"AlwaysOn"
  0x00006504  u"PrivacyScreen"
  0x00006526  u"Clear"
  0x00006548  u"BiosLogClear"
  0x00006566  u" ThermalLogClear"
  0x0000658E  u"PowerLogClear"
  0x000065AE  u"6WirelessSwitchCellularCtrl"
  0x000065EA  u"$WirelessSwitchGps"
  0x00006614  u".WirelessSwitchWlanCtrl"
  0x00006648  u"8WirelessSwitchBluetoothCtrl"
  0x00006686  u"$WirelessSwitchUwb"
  0x000066B2  u"WirelessWwan"
  0x000066D2  u"WirelessLan"
  0x000066EE  u" BluetoothDevice"
  0x00006724  u"WirelessUwb"
  0x00006740  u" WlanCountryCode"
  0x00006766  u"BUefi[ForceIf:SecureBoot=Enabled]"
  0x000067B0  u"BootList"
  0x000067C8  u"Virtualization"
  0x000067EC  u"VtForDirectIo"
  0x0000680E  u"TrustExecution"
  0x00006832  u"Speedstep"
  0x0000684C  u"TurboMode"
  0x00006866  u"Everyday"
  0x0000687E  u"Weekdays"
  0x00006896  u"SelectDays"
  0x000068B0  u"VAutoOnSun[SuppressIfNot:AutoOn=SelectDays]"
  0x0000690C  u"VAutoOnMon[SuppressIfNot:AutoOn=SelectDays]"
  0x00006968  u"VAutoOnTue[SuppressIfNot:AutoOn=SelectDays]"
  0x000069C4  u"VAutoOnWed[SuppressIfNot:AutoOn=SelectDays]"
  0x00006A20  u"XAutoOnThur[SuppressIfNot:AutoOn=SelectDays]"
  0x00006A7E  u"VAutoOnFri[SuppressIfNot:AutoOn=SelectDays]"
  0x00006ADA  u"VAutoOnSat[SuppressIfNot:AutoOn=SelectDays]"
  0x00006B38  u"LanOnly"
  0x00006B4E  u"WlanOnly"
  0x00006B7C  u"LanWithPxeBoot"
  0x00006B9E  u" DisableStandard"
  0x00006BC6  u"WakeOnAc"
  0x00006C12  u"\nLast"
  0x00006C3A  u"WakeOnDock"
  0x00006C56  u"WakeOnLan"
  0x00006C6E  u"*PrimaryBattChargeCfg"
  0x00006C9E  u"&SliceBattChargeCfg"
  0x00006CCA  u"zCustomChargeStart[SuppressIfNot:PrimaryBattChargeCfg=Custom]"
  0x00006D4A  u"xCustomChargeStop[SuppressIfNot:PrimaryBattChargeCfg=Custom]"
  0x00006DCA  u"Standard"
  0x00006DE2  u"Express"
  0x00006DF8  u"PrimAcUse"
  0x00006E12  u"Adaptive"
  0x00006E2A  u"Custom"
  0x00006E3E  u"LongLifeCycle"
  0x00006E60  u"LidSwitch"
